genre,count
"Children & Family Movies, Classic Movies",2
"Comedies, Cult Movies, Horror Movies",2
"Comedies, Cult Movies, Independent Movies",2
"Children & Family Movies, Documentaries",2
"Horror Movies, Sci-Fi & Fantasy",2
"Comedies, Dramas, Faith & Spirituality",2
Anime Features,2
"Action & Adventure, Comedies, Romantic Movies",2
"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",2
"Dramas, Music & Musicals",2
"Action & Adventure, Comedies, Cult Movies",2
"Children & Family Movies, Independent Movies",2
"Action & Adventure, Horror Movies",2
"Action & Adventure, Children & Family Movies, Comedies",2
"Dramas, Music & Musicals, Romantic Movies",2
"Classic Movies, Dramas, Thrillers",2
"Cult Movies, Dramas, Thrillers",2
"International Movies, Sci-Fi & Fantasy",2
"Classic Movies, Comedies, Music & Musicals",2
"Action & Adventure, Classic Movies, Cult Movies",2
"International Movies, Sports Movies",1
"Dramas, Horror Movies, Sci-Fi & Fantasy",1
"Children & Family Movies, Faith & Spirituality",1
"Comedies, Faith & Spirituality, Romantic Movies",1
"Documentaries, Faith & Spirituality, International Movies",1
"Children & Family Movies, Documentaries, Sports Movies",1
"Action & Adventure, Romantic Movies, Sci-Fi & Fantasy",1
"Action & Adventure, Anime Features, Classic Movies",1
"Children & Family Movies, Documentaries, International Movies",1
"Comedies, Cult Movies, LGBTQ Movies",1
"Independent Movies, Sci-Fi & Fantasy, Thrillers",1
"Action & Adventure, Children & Family Movies, Dramas",1
"Action & Adventure, Independent Movies, International Movies",1
"Comedies, Dramas, Music & Musicals",1
"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",1
"Classic Movies, Horror Movies, Thrillers",1
"Action & Adventure, Cult Movies",1
"Children & Family Movies, Comedies, Faith & Spirituality",1
"Action & Adventure, Anime Features, Horror Movies",1
"Horror Movies, International Movies, Sci-Fi & Fantasy",1
"Cult Movies, Horror Movies, Thrillers",1
"Classic Movies, Independent Movies, Thrillers",1
"International Movies, Romantic Movies, Sci-Fi & Fantasy",1
"Classic Movies, Dramas, Music & Musicals",1
"Children & Family Movies, Sports Movies",1
"Action & Adventure, Sports Movies",1
"Action & Adventure, Comedies, Music & Musicals",1
"Dramas, Faith & Spirituality, Romantic Movies",1
"Children & Family Movies, Comedies, LGBTQ Movies",1
"Anime Features, Children & Family Movies, International Movies",1
"Classic Movies, Comedies, Romantic Movies",1
"Action & Adventure, Anime Features, Children & Family Movies",1
"Action & Adventure, Classic Movies, International Movies",1
Sci-Fi & Fantasy,1
"Classic Movies, Cult Movies, Dramas",1
"Comedies, Independent Movies, Music & Musicals",1
"Anime Features, Romantic Movies",1
"Classic Movies, Dramas, LGBTQ Movies",1
"Anime Features, International Movies",1
"Comedies, Cult Movies, Sports Movies",1
"Documentaries, Faith & Spirituality, Music & Musicals",1
"Action & Adventure, Faith & Spirituality, Sci-Fi & Fantasy",1
"Cult Movies, Dramas, Independent Movies",1
"Dramas, Music & Musicals, Sports Movies",1
"Children & Family Movies, Dramas, Music & Musicals",1
"Horror Movies, LGBTQ Movies, Thrillers",1
"Action & Adventure, International Movies, Thrillers",1
"Cult Movies, Independent Movies, Thrillers",1
"Action & Adventure, Children & Family Movies, Independent Movies",1
"Comedies, Documentaries",1
"Comedies, Dramas, Sports Movies",1
Independent Movies,1
"Action & Adventure, Horror Movies, Independent Movies",1
"Action & Adventure, Documentaries, Sports Movies",1
"Action & Adventure, Comedies, Horror Movies",1
"Action & Adventure, Dramas, Faith & Spirituality",1
"Classic Movies, Comedies, Independent Movies",1
"Dramas, Horror Movies, Music & Musicals",1
"Dramas, Faith & Spirituality, Independent Movies",1
"Comedies, Music & Musicals, Romantic Movies",1
"Action & Adventure, Cult Movies, Dramas",1
"Documentaries, Dramas, International Movies",1
"Children & Family Movies, Comedies, Cult Movies",1
"Action & Adventure, Children & Family Movies",1
"Horror Movies, Independent Movies, Sci-Fi & Fantasy",1
"Independent Movies, Romantic Movies",1
"Classic Movies, Comedies, Sports Movies",1
